fine,coarse,product_name,brand,size,unit_price_sgd,per_unit_sgd,image_source,image_url,source_url,local_path,scrape_date
Milo-Powder,Beverages,Milo Instant Chocolate Malt Drink Powder - Gao Kosong+Value Pack,Milo,1.15kg,12.7,12.7,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13287085_XL1_20260407.jpg,https://www.fairprice.com.sg/product/milo-instant-chocolate-malt-drink-powder-gao-kosong-value-pack-1-15kg-13287085,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_021.jpg,2026-07-09
Milo-Powder,Beverages,Milo Instant Chocolate Malt Drink Powder - Gao Kosong+Value Pack,Milo,1.15kg,12.7,12.7,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13287085_LXL1_20260407.jpg,https://www.fairprice.com.sg/product/milo-instant-chocolate-malt-drink-powder-gao-kosong-value-pack-1-15kg-13287085,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_023.jpg,2026-07-09
Milo-Powder,Beverages,Milo Instant Chocolate Malt Drink Powder - Gao Kosong+Value Pack,Milo,1.15kg,12.7,12.7,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13287085_RXL1_20260407.jpg,https://www.fairprice.com.sg/product/milo-instant-chocolate-malt-drink-powder-gao-kosong-value-pack-1-15kg-13287085,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_025.jpg,2026-07-09
Milo-Powder,Beverages,Milo Instant Chocolate Malt Drink Powder - Gao Kosong+Value Pack,Milo,1.15kg,12.7,12.7,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13287085_BXL1_20260407.jpg,https://www.fairprice.com.sg/product/milo-instant-chocolate-malt-drink-powder-gao-kosong-value-pack-1-15kg-13287085,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_027.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Gao Kosong (Sachet),Milo,13 x 33g,8.95,0.69,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13230945_XL1_20260709.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-gao-kosong-sachet-15-x-33g-13230945,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_029.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Gao Kosong (Sachet),Milo,13 x 33g,8.95,0.69,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13230945_BXL1_20250806.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-gao-kosong-sachet-15-x-33g-13230945,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_031.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Gao Kosong (Sachet),Milo,36 X 33g,19.95,0.55,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13275785_XL1_20251231.jpg,https://www.fairprice.com.sg/product/milo-gao-kosong-sachets-value-pack-33g-x-36-13275785,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_033.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Gao Kosong (Sachet),Milo,36 X 33g,19.95,0.55,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13275785_LXL1_20251231.jpg,https://www.fairprice.com.sg/product/milo-gao-kosong-sachets-value-pack-33g-x-36-13275785,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_035.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Gao Kosong (Sachet),Milo,36 X 33g,19.95,0.55,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13275785_RXL1_20251231.jpg,https://www.fairprice.com.sg/product/milo-gao-kosong-sachets-value-pack-33g-x-36-13275785,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_037.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Gao Kosong (Sachet),Milo,36 X 33g,19.95,0.55,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13275785_BXL1_20251231.jpg,https://www.fairprice.com.sg/product/milo-gao-kosong-sachets-value-pack-33g-x-36-13275785,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_039.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Regular,Milo,400g,5.4,5.4,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13039613_XL1_20240319.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-regular-400g-13039613,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_041.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Regular,Milo,400g,5.4,5.4,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13039613_BXL1_20240319.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-regular-400g-13039613,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_043.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Milo Van,Milo,12 per pack,8.95,8.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13287286_XL1_20260709.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-milo-van-12-per-pack-13287286,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_045.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Milo Van,Milo,12 per pack,8.95,8.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13287286_LXL1_20260413.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-milo-van-12-per-pack-13287286,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_047.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Milo Van,Milo,12 per pack,8.95,8.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13287286_RXL1_20260413.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-milo-van-12-per-pack-13287286,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_049.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Milo Van,Milo,12 per pack,8.95,8.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13287286_BXL1_20260413.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-milo-van-12-per-pack-13287286,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_051.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Regular,Milo,900g,9.95,9.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11838626_XL1_20260601.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-regular-900g-11838626,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_053.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Regular,Milo,900g,9.95,9.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11838626_LXL1_20240521.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-regular-900g-11838626,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_055.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Regular,Milo,900g,9.95,9.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11838626_BXL1_20240319.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-regular-900g-11838626,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_057.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Australian Recipe,Milo,400g,9.95,9.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11061335_XL1_20251216.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-australian-recipe-450g-11061335,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_059.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Australian Recipe,Milo,400g,9.95,9.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11061335_LXL1_20251216.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-australian-recipe-450g-11061335,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_061.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Australian Recipe,Milo,400g,9.95,9.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11061335_RXL1_20220624.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-australian-recipe-450g-11061335,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_063.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Australian Recipe,Milo,400g,9.95,9.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11061335_BXL1_20251216.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-australian-recipe-450g-11061335,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_065.jpg,2026-07-09
Milo-Powder,Beverages,Milo Instant Chocolate Malt Drink Powder with Milk - Regular,Milo,1.3kg,14.95,14.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11873288_XL1_20230922.jpg,https://www.fairprice.com.sg/product/milo-instant-chocolate-malt-drink-powder-with-milk-regular-1-4kg-11873288,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_067.jpg,2026-07-09
Milo-Powder,Beverages,Milo Instant Chocolate Malt Drink Powder with Milk - Regular,Milo,1.3kg,14.95,14.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11873288_RXL1_20230922.jpg,https://www.fairprice.com.sg/product/milo-instant-chocolate-malt-drink-powder-with-milk-regular-1-4kg-11873288,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_069.jpg,2026-07-09
Milo-Powder,Beverages,Milo Instant Chocolate Malt Drink Powder with Milk - Regular,Milo,1.3kg,14.95,14.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11873288_BXL1_20230922.jpg,https://www.fairprice.com.sg/product/milo-instant-chocolate-malt-drink-powder-with-milk-regular-1-4kg-11873288,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_071.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Australian Recipe,Milo,800g,14.95,14.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13068607_XL1_20250311.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-australian-recipe-900g-13068607,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_073.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Australian Recipe,Milo,800g,14.95,14.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13068607_LXL1_20250311.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-australian-recipe-900g-13068607,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_075.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Australian Recipe,Milo,800g,14.95,14.95,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13068607_BXL1_20250311.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-australian-recipe-900g-13068607,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_077.jpg,2026-07-09
Milo-Powder,Beverages,Milo Chocolate Malt Drink Powder with Milk - Australian Recipe,Milo,1.25kg,20.03,20.03,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11061319_XL1_20250205.jpg,https://www.fairprice.com.sg/product/milo-chocolate-malt-drink-powder-with-milk-australian-recipe-1-25kg-11061319,sg_dataset/images/Beverages/Milo-Powder/Milo-Powder_079.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Orchid Chrysanthemum Tea,Yeo'S,6 x 250ml,2.99,0.5,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13250255_XL1_20250701.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drink-orchid-chrysanthemum-tea-6-x-250ml-13250255,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_001.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Orchid Chrysanthemum Tea,Yeo'S,6 x 250ml,2.99,0.5,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13250255_LXL1_20250701.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drink-orchid-chrysanthemum-tea-6-x-250ml-13250255,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_003.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Orchid Chrysanthemum Tea,Yeo'S,6 x 250ml,2.99,0.5,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13250255_RXL1_20250701.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drink-orchid-chrysanthemum-tea-6-x-250ml-13250255,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_005.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drinks - Chrysanthemum Tea (No Sugar),Yeo'S,6 x 250ml,2.99,0.5,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13190889_XL1_20251119.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drinks-chrysanthemum-tea-no-sugar-6-x-250ml-13190889,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_007.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drinks - Chrysanthemum Tea (No Sugar),Yeo'S,6 x 250ml,2.99,0.5,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13190889_LXL1_20251119.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drinks-chrysanthemum-tea-no-sugar-6-x-250ml-13190889,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_009.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drinks - Chrysanthemum Tea (No Sugar),Yeo'S,6 x 250ml,2.99,0.5,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13190889_RXL1_20251119.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drinks-chrysanthemum-tea-no-sugar-6-x-250ml-13190889,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_011.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drinks - Chrysanthemum Tea (No Sugar),Yeo'S,6 x 250ml,2.99,0.5,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13190889_BXL1_20251119.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drinks-chrysanthemum-tea-no-sugar-6-x-250ml-13190889,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_013.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Chrysanthemum Tea (Not So Sweet),Yeo'S,6 x 250ml,2.99,0.5,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/457631_XL1_20260701.jpg,https://www.fairprice.com.sg/product/yeos-chrysanthemum-tea-not-so-sweet-250ml-457631,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_015.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Chrysanthemum Tea (Not So Sweet),Yeo'S,6 x 250ml,2.99,0.5,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/457631_LXL1_20260701.jpg,https://www.fairprice.com.sg/product/yeos-chrysanthemum-tea-not-so-sweet-250ml-457631,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_017.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Chrysanthemum Tea (Not So Sweet),Yeo'S,6 x 250ml,2.99,0.5,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/457631_RXL1_20260701.jpg,https://www.fairprice.com.sg/product/yeos-chrysanthemum-tea-not-so-sweet-250ml-457631,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_019.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Chrysanthemum Tea (Not So Sweet),Yeo'S,6 x 250ml,2.99,0.5,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/457631_BXL1_20260701.jpg,https://www.fairprice.com.sg/product/yeos-chrysanthemum-tea-not-so-sweet-250ml-457631,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_021.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Chrysanthemum with Honey,Yeo'S,6 x 250ml,3.26,0.54,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13216349_XL1_20251119.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drink-chrysanthemum-with-honey-6-x-250ml-13216349,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_023.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Chrysanthemum with Honey,Yeo'S,6 x 250ml,3.26,0.54,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13216349_LXL1_20251119.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drink-chrysanthemum-with-honey-6-x-250ml-13216349,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_025.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Chrysanthemum with Honey,Yeo'S,6 x 250ml,3.26,0.54,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13216349_RXL1_20251119.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drink-chrysanthemum-with-honey-6-x-250ml-13216349,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_027.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Chrysanthemum with Honey,Yeo'S,6 x 250ml,3.26,0.54,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13216349_BXL1_20251119.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drink-chrysanthemum-with-honey-6-x-250ml-13216349,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_029.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drinks - Chrysanthemum Tea (No Sugar),Yeo'S,24 x 250ml (CTN),11.6,0.48,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12710510_XL1_20251119.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drinks-chrysanthemum-tea-no-sugar-24-x-250ml-ctn-12710510,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_031.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drinks - Chrysanthemum Tea (No Sugar),Yeo'S,24 x 250ml (CTN),11.6,0.48,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12710510_LXL1_20231031.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drinks-chrysanthemum-tea-no-sugar-24-x-250ml-ctn-12710510,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_033.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drinks - Chrysanthemum Tea (No Sugar),Yeo'S,24 x 250ml (CTN),11.6,0.48,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12710510_RXL1_20251119.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drinks-chrysanthemum-tea-no-sugar-24-x-250ml-ctn-12710510,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_035.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drinks - Chrysanthemum Tea (No Sugar),Yeo'S,24 x 250ml (CTN),11.6,0.48,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12710510_BXL1_20231031.jpg,https://www.fairprice.com.sg/product/yeo-s-packet-drinks-chrysanthemum-tea-no-sugar-24-x-250ml-ctn-12710510,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_037.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Chrysanthemum Tea (Not So Sweet),Yeo'S,24 x 250ml (CTN),11.6,0.48,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10020227_XL1_20260701.jpg,https://www.fairprice.com.sg/product/ctn-yeos-chrysanthemum-tea-24s-x-250ml-10020227,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_039.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Chrysanthemum Tea (Not So Sweet),Yeo'S,24 x 250ml (CTN),11.6,0.48,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10020227_LXL1_20260701.jpg,https://www.fairprice.com.sg/product/ctn-yeos-chrysanthemum-tea-24s-x-250ml-10020227,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_041.jpg,2026-07-09
Yeos-Chrysanthemum-Tea,Beverages,Yeo's Packet Drink - Chrysanthemum Tea (Not So Sweet),Yeo'S,24 x 250ml (CTN),11.6,0.48,fairprice,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10020227_RXL1_20260205.jpg,https://www.fairprice.com.sg/product/ctn-yeos-chrysanthemum-tea-24s-x-250ml-10020227,sg_dataset/images/Beverages/Yeos-Chrysanthemum-Tea/Yeos-Chrysanthemum-Tea_043.jpg,2026-07-09
